,arch,activation,attack,iterations,eps 2,eps 4,eps 6,eps 8,eps 10,SROCC,PLCC
53,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,3,-0.034540107809557,-0.0591066445692315,-0.0774517663404964,-0.085321212970814,-0.0882717433117131,0.8795957750046732,0.8886217142549228
54,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,5,-0.0201136104823735,-0.0426727043515194,-0.0562052914786282,-0.0639498433303929,-0.0687579238908445,0.8795957750046732,0.8886217142549228
55,resnet101-Linearity,sqish,PGD,1,0.2146670701732702,0.1635216887615112,0.1022207266311441,0.0461107485580627,-0.0039545211227259,0.9225713675220296,0.9354429382223828
56,resnet101-Linearity,sqish,PGD,3,0.5104868432186894,0.5075623436492712,0.4761309326669363,0.4467347743161253,0.4166701473363651,0.9225713675220296,0.9354429382223828
57,resnet101-Linearity,sqish,PGD,1,0.2631818974544073,0.2224493100592228,0.1773983117742175,0.1427259869986884,0.1152998332434803,0.9225713675220296,0.9354429382223828
58,resnet101-Linearity,sqish,PGD,3,0.5463964220249734,0.5414402044409806,0.517751398237631,0.4954833196537174,0.4759730455526442,0.9225713675220296,0.9354429382223828
59,resnet101-Linearity,sqish,PGD,5,0.7211916513308276,0.7493496403866368,0.7078024563275912,0.6278685294471589,0.5509273632328918,0.9225713675220296,0.9354429382223828
60,resnet101-Linearity,sqish,PGD,5,0.7377341717340729,0.7489058224386139,0.7118333813222483,0.6501194212201413,0.5919423319137332,0.9225713675220296,0.9354429382223828
61,resnet101-Linearity,silu,PGD,1,0.1712785182318895,0.14286456285162,0.1053563418340977,0.0720723060794995,0.0414359809441982,0.9214650984923364,0.9333832056641794
62,resnet101-Linearity,Fsilu,PGD,1,0.1323995347735421,0.1602604270546597,0.1666877790407026,0.1587411911221827,0.1313466121518892,0.8234182860881981,0.7860969855020901
63,resnet101-Linearity,silu,PGD,1,0.2496284675337317,0.222045130883523,0.1929419422618723,0.173427404032356,0.1595095783733943,0.9214650984923364,0.9333832056641794
64,resnet101-Linearity,Fsilu,PGD,1,0.1918088378444581,0.2171938232291081,0.2260381079769063,0.2278927865623096,0.2114775872436144,0.8234182860881981,0.7860969855020901
65,resnet101-Linearity,Fsilu,PGD,3,0.2138849706249745,0.2290621240958137,0.1990312399550344,0.1435594356354179,0.0834769901678326,0.8234182860881981,0.7860969855020901
66,resnet101-Linearity,silu,PGD,3,0.3920463443192012,0.4139799695508917,0.406478882934286,0.392468480291826,0.3746291302846971,0.9214650984923364,0.9333832056641794
67,resnet101-Linearity,Fsilu,PGD,5,0.2470204330376247,0.242765147612671,0.2150536692940232,0.171823156449143,0.1146564563440382,0.8234182860881981,0.7860969855020901
68,resnet101-Linearity,silu,PGD,5,0.5703793491431163,0.6297647968879955,0.6160464726163354,0.5606583088170863,0.5035412255510818,0.9214650984923364,0.9333832056641794
69,resnet101-Linearity,Fsilu,PGD,8,0.2652322734186996,0.2426991654556435,0.22147993355757,0.1838962702860654,0.133400721517792,0.8234182860881981,0.7860969855020901
70,resnet101-Linearity,silu,PGD,8,0.7947807297333925,0.8605481660719696,0.7851341708721218,0.6845796884806005,0.594276889350331,0.9214650984923364,0.9333832056641794
71,resnet101-Linearity,Fsilu,PGD,5,0.3854352791252125,0.396428686980243,0.382397981506362,0.3533436175206585,0.3113150820286658,0.8234182860881981,0.7860969855020901
72,resnet101-Linearity,Fsilu,PGD,3,0.3227466781784902,0.3492124010801972,0.33079775498617,0.3010724589818754,0.2637126796316547,0.8234182860881981,0.7860969855020901
73,resnet101-Linearity,silu,PGD,3,0.4957413951425429,0.509152087599831,0.4990203282927332,0.4857391190313159,0.4723910906221707,0.9214650984923364,0.9333832056641794
74,resnet101-Linearity,silu,PGD,5,0.6607618399909736,0.6922131591630545,0.6709463772461942,0.6223839869619766,0.5755006100373549,0.9214650984923364,0.9333832056641794
75,resnet101-Linearity,silu,PGD,8,0.8655606569881089,0.8911838882712838,0.8103531584059365,0.720607241412728,0.6454713936179879,0.9214650984923364,0.9333832056641794
76,resnet101-Linearity,Fsilu,PGD,8,0.4174080277233107,0.4021515191726899,0.3855767234730289,0.3601350400509475,0.3227991578997758,0.8234182860881981,0.7860969855020901
77,resnet101-Linearity,sqish,PGD,8,0.9763016025651152,1.003462707599701,0.8844029622008648,0.7524772765425438,0.6386176982157148,0.9225713675220296,0.9354429382223828
78,resnet101-Linearity,Frelu_elu,PGD,8,-0.1279739760012433,-0.1808349455287999,-0.2121102545754475,-0.2394723349373151,-0.2616253615553948,0.891110186601982,0.8978851650727864
79,resnet101-Linearity,sqish,PGD,8,0.9646093346345236,0.9597611477373728,0.8534718554505272,0.7468387683830644,0.6616688710257664,0.9225713675220296,0.9354429382223828
80,resnet101-Linearity,Frelu_elu,PGD,8,0.0891360629660027,0.0659613843173877,0.0414647820978968,0.0152837098368557,-0.0106418605950688,0.891110186601982,0.8978851650727864
81,resnet101-Linearity+gr,relu,PGD,8,0.7223121376291463,0.7837108931190269,0.7020903876069956,0.6007276301436386,0.509617176239269,0.9044099532663302,0.9207523049688774
82,resnet101-Linearity,relu,PGD,1,12.724079975762454,10.9285859078163,8.483508879881862,6.227974290189004,4.202835058974061,0.9225319365302196,0.934034873216349
83,resnet101-Linearity,relu,PGD,1,18.41960452109016,16.77509135143637,14.977070038774489,13.77580878824818,12.93826524101785,0.9225319365302196,0.934034873216349
